,time (ns GMT),channel,video_ts,format,size,ssim_index,cwnd,in_flight,min_rtt,rtt,delivery_rate,buffer,cum_rebuf,time (ns GMT) acked,abr,cc,day,session,time_sent,time_acked,trans_time,throughput,rebuf,ssim,formats,sizes,qualities,duration
1462489,1606190718419000000,cbs,26095109040,1280x720-24,147938,0.96482,34,25,45828,88065,349960,8.133,0.455,1.606190718903e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,29.749,30.232999936,0.484,305657.02479338844,0.0,14.537041648785575,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(19228, 44190, 52973, 71169, 105898, 147938, 216755, 332681, 415074, 662383)","(0.918246, 0.940457, 0.945958, 0.951779, 0.959284, 0.96482, 0.969811, 0.973996, 0.975416, 0.97969)",2.002
1462490,1606190718904000000,cbs,26095289220,1280x720-22,452674,0.976018,36,0,45828,90545,367898,9.642,0.455,1.6061907202e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,30.234,31.529999872,1.296,349285.4938271605,0.0,16.201146013562525,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(64313, 134347, 158951, 196005, 284051, 353888, 452674, 591825, 752142, 993656)","(0.933062, 0.954084, 0.95881, 0.963182, 0.968537, 0.972483, 0.976018, 0.979115, 0.980946, 0.984069)",2.002
1462491,1606190720200000000,cbs,26095469400,1280x720-24,406039,0.97791,34,28,45828,148027,345669,10.348,0.455,1.606190721463e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,31.53,32.792999936,1.263000064,321487.7113418737,0.0,16.55804284128564,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(69489, 149425, 180205, 222577, 327372, 406039, 516742, 671978, 851500, 1103311)","(0.947297, 0.964654, 0.967488, 0.971232, 0.974806, 0.97791, 0.980661, 0.982994, 0.983779, 0.986241)",2.002
1462492,1606190721464000000,cbs,26095649580,1280x720-22,476284,0.982938,32,0,45828,128224,356313,11.087,0.455,1.6061907229e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,32.794,34.229999872,1.436,331674.0947075209,0.0,17.679700623798663,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(65124, 139274, 169241, 208498, 299305, 372302, 476284, 617155, 802714, 1039616)","(0.944192, 0.965217, 0.969157, 0.97303, 0.977178, 0.980307, 0.982938, 0.985058, 0.985762, 0.987955)",2.002
1462493,1606190722901000000,cbs,26095829760,1280x720-22,266124,0.98121,32,27,45828,130187,356491,11.651,0.455,1.606190723772e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,34.231,35.101999872,0.871000064,305538.4390878759,0.0,17.260732198994752,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(35072, 74788, 89898, 112521, 159561, 201800, 266124, 359042, 422647, 583215)","(0.93811, 0.960856, 0.964916, 0.969751, 0.97404, 0.978022, 0.98121, 0.983895, 0.983855, 0.986396)",2.002
1462494,1606190723772000000,cbs,26096009940,1280x720-24,223137,0.984521,32,0,45828,125847,340528,12.788,0.455,1.606190724444e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,35.102,35.773999872,0.672,332049.1071428571,0.0,18.102570997584298,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(39457, 81952, 102040, 123766, 184739, 223137, 282195, 371521, 482850, 639738)","(0.952569, 0.971498, 0.975939, 0.978303, 0.982442, 0.984521, 0.986247, 0.987673, 0.988618, 0.989986)",2.002
1462495,1606190724444000000,cbs,26096190120,854x480-24,62796,0.984123,34,0,45828,110303,346619,14.119,0.455,1.60619072468e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,35.774,36.009999872,0.236,266084.74576271186,0.0,17.992315552168275,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(20075, 42402, 51700, 62796, 96771, 124166, 163951, 226229, 282980, 394807)","(0.971343, 0.980473, 0.98249, 0.984123, 0.985538, 0.98688, 0.988066, 0.989073, 0.989589, 0.99069)",2.002
1462496,1606190725610000000,cbs,26096370300,1920x1080-22,975500,0.982172,36,0,45828,94013,320196,14.945,0.455,1.606190728746e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,36.94,40.075999744,3.136,311065.05102040817,0.0,17.488973745858623,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(41045, 95545, 118975, 151571, 227377, 297098, 397118, 547010, 703423, 975500)","(0.941901, 0.957249, 0.9594, 0.963731, 0.966673, 0.971204, 0.975341, 0.978796, 0.978518, 0.982172)",2.002
1462497,1606190728748000000,cbs,26096550480,1920x1080-22,1103669,0.981927,34,0,45577,97116,322365,13.818,0.455,1.606190732112e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,40.078,43.441999872,3.364,328082.34244946495,0.0,17.42969751406713,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(61869, 134613, 163195, 200947, 294872, 368559, 475280, 628357, 822890, 1103669)","(0.934165, 0.95514, 0.95776, 0.962467, 0.966361, 0.97052, 0.974338, 0.977708, 0.97845, 0.981927)",2.002
1462498,1606190732113000000,cbs,26096730660,1920x1080-22,585675,0.984397,38,34,45577,157076,314783,12.455,0.455,1.606190734148e+18,bola_basic_v1,bbr,2020-11-23,2020-11-23_+lqFvDFc4Fd5TU1YanDuOHM/qPUAu5T48POEMZ0peQE=_0,43.443,45.477999872,2.035000064,287800.97374974826,0.0,18.067918915055046,"('426x240-26', '640x360-24', '854x480-26', '854x480-24', '1280x720-26', '1280x720-24', '1280x720-22', '1280x720-20', '1920x1080-24', '1920x1080-22')","(25547, 52606, 62584, 79516, 115354, 154826, 218154, 319047, 389850, 585675)","(0.941143, 0.959074, 0.962308, 0.966025, 0.970202, 0.973894, 0.977065, 0.979999, 0.98134, 0.984397)",2.002
